DFT,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
0,1.18,-0.21,1.04,0.89,0.98,-0.08,-0.05
0,2.12,-0.21,0.59,3,2.61,-0.08,-0.05
1,0.46,-0.21,2.62,-0.15,-0.47,-0.08,-0.05
0,0.71,-0.16,0.91,-0.16,-0.29,0.8,0.33
0,1.36,0.01,-0.37,-0.2,-0.65,0.8,0.18
1,1.09,-0.27,1.25,0.69,1.34,0.14,0.13
1,3,-0.27,0.66,0,0.8,3,2.95
0,-0.25,-0.21,0.22,0.21,0.08,-0.08,-0.05
1,1.79,-0.21,0.76,-0.2,-0.65,0.14,-0.04
0,3,-0.21,-0.32,3,3,-0.08,-0.05
1,-0.3,-0.21,-0.06,-0.2,-0.65,-0.08,-0.05
1,0.85,-0.27,0.06,0.14,1.7,0.14,0.08
0,1.45,-0.21,0.92,2.4,3,-0.08,-0.05
1,1.23,-0.27,1.57,-0.07,0.98,0.14,-0.03
0,1.25,-0.21,3,0.46,3,-0.08,-0.05
0,0.94,-0.21,-0.08,0.23,0.8,-0.08,-0.05
0,3,-0.21,-0.53,0.51,-0.1,2.13,3
0,0.86,-0.21,-0.2,0.09,2.25,0.14,-0.03
0,0.46,-0.21,0.12,0.91,0.08,-0.08,-0.05
0,0.37,-0.21,0.84,0.35,2.43,-0.08,-0.05
0,0.07,-0.21,0.1,-0.2,-0.47,-0.08,-0.05
0,0.32,-0.21,1.05,0.02,2.07,-0.08,-0.05
1,0.58,-0.21,-0.47,-0.2,-0.65,-0.08,-0.05
0,0.02,-0.21,0.34,0.33,1.52,-0.08,-0.05
0,0.63,-0.21,1.11,3,3,-0.08,-0.05
0,0.17,-0.21,0.71,0.92,0.44,-0.08,-0.05
0,1.44,-0.21,1.68,2.08,3,-0.08,-0.05
0,-0.28,-0.21,0.26,-0.06,0.62,-0.08,-0.05
1,-0.39,-0.21,-0.47,-0.2,-0.65,-0.08,-0.05
0,-0.27,-0.21,-0.07,0.26,3,-0.08,-0.05
0,1.08,-0.21,2.2,2.07,1.7,-0.08,-0.05
0,0.11,-0.21,0.22,-0.19,-0.47,0.58,0.15
1,2.7,-0.21,0.53,-0.14,0.08,-0.08,-0.05
0,2.16,-0.21,2.92,-0.2,-0.65,0.14,0.04
0,0.3,-0.21,1.53,0.11,1.52,-0.08,-0.05
1,0.32,-0.27,0.04,-0.08,-0.29,0.36,-0.02
0,-0.25,-0.21,0.19,-0.06,0.08,-0.08,-0.05
0,0.45,-0.27,1.58,-0.2,-0.29,1.69,0.46
1,-0.36,-0.27,0.19,-0.17,-0.47,0.8,-0.01
0,1.23,-0.21,2.7,-0.17,-0.1,-0.08,-0.05
0,1.02,-0.21,2.77,1.69,1.52,-0.08,-0.05
0,-0.26,-0.21,-0.28,0.01,0.8,-0.08,-0.05
0,0.95,-0.21,3,1.32,3,-0.08,-0.05
1,0.54,-0.27,-0.53,0.07,-0.29,0.14,-0.04
0,-0.18,-0.21,0.63,0.01,2.79,-0.08,-0.05
0,-0.23,-0.21,0.37,0.22,0.8,-0.08,-0.05
0,-0.29,-0.21,-0.49,-0.16,-0.1,-0.08,-0.05
0,0.9,-0.21,0.15,1.06,3,-0.08,-0.05
0,1.09,-0.21,0.45,0.17,-0.1,-0.08,-0.05
1,-0.25,-0.21,-0.41,-0.17,0.08,-0.08,-0.05
1,-0.14,3,0.01,-0.2,-0.65,-0.08,-0.05
0,1.26,-0.21,1.67,1.03,3,-0.08,-0.05
0,2.25,-0.21,3,0.79,1.34,-0.08,-0.05
0,-0.1,-0.21,-0.53,3,0.98,-0.08,-0.05
1,0.21,-0.21,-0.01,-0.2,-0.65,-0.08,-0.05
0,0.25,-0.21,-0.37,0.68,1.34,-0.08,-0.05
1,-0.23,-0.05,0.03,-0.17,-0.1,0.36,-0.03
0,1.63,-0.21,2.01,0.2,0.26,-0.08,-0.05
0,2.97,-0.21,2.79,1.87,3,0.14,0.25
0,0.33,-0.21,1.07,-0.11,0.44,-0.08,-0.05
0,0.97,-0.21,1.31,0.11,0.98,-0.08,-0.05
0,0.83,-0.21,-0.4,0.19,1.7,-0.08,-0.05
0,1.51,-0.21,0.3,0.05,0.8,-0.08,-0.05
1,-0.37,-0.21,0.01,-0.2,-0.47,-0.08,-0.05
1,0.85,-0.21,2.07,-0.2,-0.65,-0.08,-0.05
0,-0.3,-0.21,-0.32,0.18,0.8,-0.08,-0.05
1,1.24,-0.27,0.27,0.31,0.08,0.14,0.04
1,0.82,-0.21,1.27,-0.2,-0.65,-0.08,-0.05
0,1.58,-0.21,0.63,3,3,-0.08,-0.05
0,0.33,-0.21,-0.28,0.84,3,-0.08,-0.05
1,0.14,-0.21,-0.43,-0.2,-0.47,-0.08,-0.05
1,1.65,-0.21,0.36,0.35,-0.1,-0.08,-0.05
0,-0.15,-0.21,-0.53,-0.1,0.26,-0.08,-0.05
1,-0.08,-0.21,-0.43,-0.2,-0.65,-0.08,-0.05
0,0.94,-0.21,0.1,0.96,3,-0.08,-0.05
0,-0.14,-0.21,0.2,0.13,0.98,-0.08,-0.05
0,0.79,-0.21,-0.47,0.9,3,-0.08,-0.05
0,1.44,-0.21,1.39,1.54,3,1.46,2.3
1,0.97,-0.21,-0.01,1.38,3,-0.08,-0.05
0,0.14,-0.21,1,0.06,1.34,-0.08,-0.05
0,0.29,-0.21,0.84,0.69,2.07,-0.08,-0.05
1,0.03,-0.27,0.36,0.2,-0.29,0.58,0
0,0.3,-0.21,-0.52,0.72,0.08,-0.08,-0.05
0,2.54,-0.27,3,-0.17,-0.1,0.58,1.04
0,0.18,-0.21,0.17,0.56,3,-0.08,-0.05
0,0.62,-0.21,2.19,-0.02,0.44,-0.08,-0.05
0,-0.19,-0.21,-0.08,-0.02,1.88,-0.08,-0.05
0,0.34,-0.21,0.54,0.08,2.43,-0.08,-0.05
0,0.81,-0.21,0.71,3,2.43,-0.08,-0.05
0,0.79,-0.21,-0.53,-0.05,0.8,-0.08,-0.05
0,0.71,-0.21,1.52,0.25,2.97,-0.08,-0.05
0,0.63,-0.21,-0.37,3,3,-0.08,-0.05
1,0.45,-0.21,-0.4,-0.06,0.08,-0.08,-0.05
0,1.04,-0.21,3,0.52,1.88,-0.08,-0.05
0,1.29,-0.21,3,0.24,0.8,-0.08,-0.05
1,0.81,-0.21,-0.18,-0.2,-0.47,-0.08,-0.05
0,3,-0.21,3,3,3,3,3
0,-0.27,-0.21,0.06,0.37,1.52,-0.08,-0.05
0,0.68,-0.21,1.85,1.75,0.8,-0.08,-0.05
0,0.97,-0.21,3,0.09,2.61,-0.08,-0.05
0,3,-0.21,0.74,3,1.34,-0.08,-0.05
0,-0.12,-0.21,-0.38,0.09,2.25,-0.08,-0.05
0,1.56,-0.21,1.87,1.12,2.79,-0.08,-0.05
0,-0.32,-0.21,0.1,-0.2,-0.65,-0.08,-0.05
1,0.4,-0.27,-0.44,-0.11,0.08,0.14,-0.02
0,-0.11,-0.21,-0.53,0.4,0.98,-0.08,-0.05
0,0.33,-0.21,0.03,0.08,0.8,-0.08,-0.05
0,0.55,-0.27,-0.42,-0.07,-0.1,1.24,0.11
0,-0.17,-0.21,0.38,-0.2,-0.65,0.14,0
0,1.02,-0.21,-0.4,0.05,0.98,-0.08,-0.05
0,0.46,-0.21,-0.05,0.98,0.8,1.91,2.99
1,3,-0.27,3,2.45,0.62,0.14,0.04
0,0.08,-0.21,-0.06,0.31,3,-0.08,-0.05
0,-0.06,-0.21,1.21,0.04,0.62,-0.08,-0.05
0,0.5,-0.21,1.21,0.54,2.07,-0.08,-0.05
0,2.7,-0.21,2.35,0.91,3,-0.08,-0.05
0,1.77,-0.21,0.72,1.89,3,-0.08,-0.05
0,3,-0.21,3,3,2.97,-0.08,-0.05
0,0.72,-0.21,0.91,-0.18,-0.47,2.35,0.02
0,1.12,-0.21,0.92,0.45,1.7,-0.08,-0.05
1,0.68,-0.27,1.36,-0.07,0.98,0.8,-0.01
0,0.64,-0.21,1.5,-0.2,-0.65,0.58,0.38
1,2.29,-0.21,2.71,0.54,1.16,-0.08,-0.05
0,0.64,-0.21,-0.52,0.13,-0.29,-0.08,-0.05
0,0.41,-0.21,1.2,0.56,2.97,1.69,0.03
0,1.63,-0.21,-0.17,1.27,0.98,3,3
0,0.42,-0.27,0.38,-0.2,-0.65,0.58,0.12
0,1.97,-0.21,3,1.45,3,-0.08,-0.05
0,-0.39,-0.21,-0.42,-0.05,0.08,-0.08,-0.05
0,0.17,-0.21,0.43,-0.04,2.43,-0.08,-0.05
0,1.54,-0.21,1.39,0.54,1.88,-0.08,-0.05
0,0.29,-0.21,0.41,0.12,0.98,-0.08,-0.05
1,0.46,-0.27,1.53,0.03,1.16,0.14,-0.03
0,1.4,-0.21,0.84,2.59,3,-0.08,-0.05
0,-0.06,-0.21,0.26,0.25,0.08,-0.08,-0.05
1,2.24,-0.27,3,-0.08,-0.1,0.36,0.04
0,1.01,-0.21,-0.53,0.01,0.26,2.13,1.01
0,3,-0.21,3,0.41,0.98,-0.08,-0.05
1,-0.27,-0.27,0.2,0.01,0.62,0.14,-0.02
0,0.05,3,0.24,-0.2,-0.65,-0.08,-0.05
0,2.05,-0.21,-0.17,0.66,3,0.14,0.38
1,3,-0.21,-0.53,3,1.7,-0.08,-0.05
0,1.36,-0.21,1.69,2.75,3,0.14,-0.04
0,1.93,-0.21,1.53,1.11,0.98,-0.08,-0.05
1,0.61,-0.27,2.13,-0.15,0.08,0.8,0.01
0,0.85,-0.21,1.84,-0.2,-0.47,-0.08,-0.05
0,0.93,-0.21,1.3,0.32,2.25,-0.08,-0.05
1,3,-0.27,-0.53,3,2.25,0.14,0.2
0,0.15,-0.21,-0.52,0.16,0.8,-0.08,-0.05
0,0.08,-0.21,0.02,0.03,1.52,-0.08,-0.05
0,0.72,-0.21,1.4,-0.01,2.43,-0.08,-0.05
1,3,-0.27,2.67,1.22,3,0.14,0.04
0,1.82,-0.21,2.09,-0.18,-0.1,0.14,0.01
0,0.65,-0.21,-0.21,2.23,3,-0.08,-0.05
0,3,-0.21,2.34,3,3,-0.08,-0.05
1,0.71,-0.27,0.41,-0.02,0.62,0.36,0.08
1,3,-0.21,-0.13,-0.17,-0.47,-0.08,-0.05
0,-0.02,-0.21,-0.5,0.5,0.98,-0.08,-0.05
1,0.32,-0.27,1.32,-0.08,0.44,0.14,0.15
0,0.04,-0.21,0.63,0.11,1.52,-0.08,-0.05
0,1.74,-0.21,0.49,0.14,1.88,-0.08,-0.05
0,0.44,-0.21,-0.08,1.14,2.79,-0.08,-0.05
1,-0.52,0.01,-0.31,-0.2,-0.65,-0.08,-0.05
1,0.56,-0.21,0.52,-0.15,-0.29,-0.08,-0.05
0,0.72,-0.21,-0.22,0.75,2.79,-0.08,-0.05
1,0.55,-0.27,-0.49,0.01,0.26,0.14,-0.02
0,0.12,-0.21,0.33,-0.2,-0.65,0.14,-0.02
0,2.33,-0.21,3,3,3,-0.08,-0.05
0,0.38,-0.21,-0.09,0.16,1.7,-0.08,-0.05
1,-0.4,-0.21,-0.4,-0.2,-0.65,-0.08,-0.05
0,0.32,-0.21,-0.34,-0.14,0.62,-0.08,-0.05
1,1.26,-0.27,0.75,0,-0.1,0.14,-0.03
0,0.9,-0.21,0.57,0.29,0.26,-0.08,-0.05
0,0.8,-0.21,0.62,0.02,-0.29,-0.08,-0.05
0,0.28,-0.21,-0.29,0.12,2.07,-0.08,-0.05
1,0.5,-0.21,-0.04,-0.19,-0.47,-0.08,-0.05
1,0.71,-0.21,2.17,-0.2,-0.47,0.58,0.12
0,1.19,-0.21,-0.07,-0.12,0.08,-0.08,-0.05
0,0.37,-0.21,-0.01,0.92,1.34,-0.08,-0.05
0,0.11,-0.21,-0.52,0.66,0.44,-0.08,-0.05
0,0.12,-0.21,-0.07,0.23,0.98,0.58,0.68
0,0.94,-0.21,0.33,-0.2,-0.65,-0.08,-0.05
0,1.56,-0.21,2.38,1.49,2.79,-0.08,-0.05
1,3,-0.27,3,3,0.44,0.14,0.04
0,1.59,-0.21,1.35,3,2.07,-0.08,-0.05
0,0.4,-0.21,0.94,0.49,0.98,1.02,0.52
0,0.89,-0.21,1.84,0.87,1.88,-0.08,-0.05
1,0.45,-0.21,1.05,-0.2,-0.65,-0.08,-0.05
1,3,-0.16,3,0.44,3,0.14,0
1,0.13,-0.27,1.39,0.2,0.26,0.14,-0.03
0,1.79,-0.21,1.83,0.74,3,-0.08,-0.05
0,2.05,-0.21,3,-0.02,2.61,-0.08,-0.05
0,2.8,-0.21,1.3,0.42,2.07,-0.08,-0.05
0,-0.15,-0.21,-0.46,0.78,1.52,-0.08,-0.05
0,0.98,-0.21,1.73,1.78,3,-0.08,-0.05
0,0.53,-0.21,0.72,0.55,0.62,-0.08,-0.05
1,-0.16,-0.27,-0.11,-0.04,-0.1,0.14,-0.03
0,1.18,-0.21,2.37,0.97,3,1.46,1.03
1,1.77,-0.27,2.22,0.48,2.97,0.14,-0.02
0,0.52,-0.21,1.27,1.09,2.79,-0.08,-0.05
1,0.59,-0.27,0.54,-0.17,-0.29,1.24,0.09
0,0.13,-0.21,0.04,0.28,1.16,-0.08,-0.05
0,2.75,-0.21,-0.04,1.99,3,-0.08,-0.05
1,0.41,-0.21,-0.21,-0.11,0.44,-0.08,-0.05
0,0.78,-0.21,0,0.19,2.07,-0.08,-0.05
0,-0.21,-0.21,0.44,0.87,1.88,-0.08,-0.05
0,-0.1,-0.21,-0.52,0.24,1.52,-0.08,-0.05
0,1.94,-0.21,3,0.01,2.25,-0.08,-0.05
0,-0.02,-0.21,-0.4,1.7,2.07,-0.08,-0.05
0,2.83,-0.21,1.53,0.95,3,-0.08,-0.05
0,3,-0.21,-0.07,3,3,-0.08,-0.05
0,3,-0.16,2.54,-0.13,0.08,-0.08,-0.05
0,1,-0.21,1.62,0.74,1.52,-0.08,-0.05
1,1.71,-0.21,0.63,-0.2,-0.65,-0.08,-0.05
0,2.54,-0.21,1.3,0.44,0.62,-0.08,-0.05
0,-0.08,-0.21,-0.53,0.31,-0.1,-0.08,-0.05
1,-0.03,-0.16,0.26,-0.2,-0.65,0.14,-0.03
0,-0.13,-0.21,0.21,-0.11,1.16,-0.08,-0.05
0,1.49,-0.21,-0.53,-0.12,-0.47,0.14,0.06
0,3,-0.21,-0.53,3,3,-0.08,-0.05
1,1.06,-0.27,1.37,0.74,2.07,1.24,0.38
0,1.24,-0.21,0.38,0.04,1.16,-0.08,-0.05
0,0.32,-0.21,0.24,1.16,2.97,-0.08,-0.05
0,0.03,-0.21,0.09,1.12,1.16,-0.08,-0.05
0,0.96,-0.21,3,-0.01,0.62,-0.08,-0.05
1,-0.04,-0.21,-0.31,-0.2,-0.65,-0.08,-0.05
0,1.02,-0.21,2.69,0.32,3,-0.08,-0.05
1,2.98,-0.21,2.47,-0.08,-0.47,-0.08,-0.05
0,0.3,-0.21,-0.31,-0.05,-0.1,-0.08,-0.05
1,0.79,-0.21,-0.47,-0.19,-0.47,-0.08,-0.05
0,0.28,-0.21,0.47,0.08,0.98,-0.08,-0.05
1,1.42,-0.21,0.81,0.15,2.25,-0.08,-0.05
0,0.94,-0.21,0.45,0.29,0.8,-0.08,-0.05
0,3,-0.27,3,0.01,-0.29,0.58,0.27
1,-0.44,1.79,-0.04,-0.2,-0.65,1.24,0.12
1,0.01,-0.21,0.17,0.05,1.16,-0.08,-0.05
0,0.69,-0.21,0.6,0.55,0.44,-0.08,-0.05
0,0.82,-0.21,-0.53,3,0.26,-0.08,-0.05
1,-0.18,-0.21,-0.27,-0.2,-0.65,-0.08,-0.05
1,0.84,-0.27,-0.21,-0.05,-0.47,0.8,0.08
1,0.07,-0.21,0.22,-0.2,-0.65,-0.08,-0.05
0,1.21,-0.21,-0.49,3,-0.29,-0.08,-0.05
1,3,-0.27,3,-0.11,-0.29,0.14,0.08
0,-0.67,3,-0.5,-0.2,-0.65,1.24,0.03
1,0.06,-0.21,-0.32,-0.2,-0.65,-0.08,-0.05
0,-0.24,-0.21,-0.21,0.16,0.8,-0.08,-0.05
0,2.26,-0.21,0.7,0.28,1.16,-0.08,-0.05
0,2.03,-0.21,-0.5,3,3,-0.08,-0.05
0,1.68,-0.21,2.85,-0.19,-0.47,-0.08,-0.05
1,1.56,-0.27,1.24,-0.17,-0.1,1.24,0.04
0,0.85,-0.21,0.88,0.22,1.88,-0.08,-0.05
0,-0.09,-0.21,0.17,-0.2,-0.65,-0.08,-0.05
0,0.71,-0.21,2.36,1.01,1.7,-0.08,-0.05
0,0.87,-0.21,3,-0.05,-0.1,2.79,1.31
0,0.36,-0.21,0.89,0.31,3,-0.08,-0.05
1,0.48,-0.21,-0.49,0.23,0.44,-0.08,-0.05
0,2.92,-0.21,3,-0.07,-0.29,-0.08,-0.05
0,0.39,-0.21,0.91,0.11,2.61,-0.08,-0.05
1,0.13,-0.21,0.22,-0.2,-0.65,-0.08,-0.05
0,1.99,-0.21,3,1.48,2.07,0.14,0
0,2.84,-0.21,3,0.66,2.25,-0.08,-0.05
0,1.1,-0.21,3,0.31,2.43,-0.08,-0.05
0,0.89,-0.21,1.04,-0.01,0.44,-0.08,-0.05
0,2.73,-0.21,-0.53,0.35,0.08,-0.08,-0.05
0,0.01,-0.21,-0.02,1.1,1.7,-0.08,-0.05
0,2.76,-0.21,-0.48,0.01,0.62,-0.08,-0.05
1,-0.07,-0.21,-0.53,-0.2,-0.65,-0.08,-0.05
0,0.17,-0.21,-0.49,0.31,1.7,-0.08,-0.05
0,0.76,-0.21,0.46,1.15,2.07,-0.08,-0.05
0,0,-0.21,1.32,-0.13,-0.1,-0.08,-0.05
1,1.88,-0.21,0.68,0.19,-0.29,-0.08,-0.05
0,2.05,-0.27,3,0,-0.29,1.46,0.16
0,0.76,-0.21,0.51,0.01,0.62,-0.08,-0.05
0,3,-0.21,2.29,1.12,3,-0.08,-0.05
0,0.8,-0.21,-0.53,1.53,0.26,-0.08,-0.05
0,-0.25,-0.21,0.46,-0.2,-0.65,0.58,0.16
1,0.62,-0.21,-0.53,-0.19,-0.29,-0.08,-0.05
0,2.26,-0.21,3,1.18,3,-0.08,-0.05
0,0.6,-0.21,0.41,1.06,0.98,-0.08,-0.05
0,3,-0.21,0.03,1.42,3,-0.08,-0.05
0,0,-0.21,0.63,0.12,0.26,-0.08,-0.05
1,0.61,-0.27,0.13,0.28,0.44,0.14,-0.02
0,1.31,-0.21,2.77,0.36,3,-0.08,-0.05
0,-0.06,-0.21,-0.45,-0.03,0.26,-0.08,-0.05
0,0.25,-0.21,-0.53,1.65,3,1.69,0.21
0,0.83,-0.21,2.61,0.93,3,-0.08,-0.05
0,1.42,-0.21,3,1.57,3,-0.08,-0.05
0,0.78,-0.21,1.09,0.65,0.8,-0.08,-0.05
0,-0.11,-0.21,0.83,1.13,1.34,-0.08,-0.05
0,-0.04,-0.21,0.44,-0.17,-0.47,1.24,0.73
1,-0.21,-0.27,0.56,-0.2,-0.47,0.36,0
0,1.5,-0.21,0.68,0.52,3,-0.08,-0.05
0,1.05,-0.21,2.78,-0.2,-0.65,-0.08,-0.05
0,1.31,-0.21,3,0.16,1.16,-0.08,-0.05
0,0.19,-0.21,0.86,-0.16,0.26,1.24,0.27
1,0.1,-0.21,-0.02,-0.2,-0.65,-0.08,-0.05
0,-0.45,-0.21,-0.38,-0.17,-0.47,1.69,0.09
0,0.44,-0.21,0.88,0.14,2.25,-0.08,-0.05
0,0.31,-0.21,-0.53,-0.15,-0.29,0.14,-0.03
0,1.31,-0.21,-0.44,0.55,1.88,-0.08,-0.05
0,1.18,-0.21,-0.5,0.84,0.8,1.69,1.57
0,0.48,-0.21,1.25,-0.19,-0.47,-0.08,-0.05
0,0.37,-0.21,-0.03,0.37,-0.1,-0.08,-0.05
1,1.73,-0.27,3,0.03,0.98,0.36,0.11
0,1.39,-0.21,-0.53,0.3,1.34,-0.08,-0.05
0,2.2,-0.21,3,0.58,2.07,-0.08,-0.05
0,1.3,-0.21,2.97,0.22,2.61,-0.08,-0.05
1,1.08,-0.27,1.85,-0.12,-0.29,0.14,-0.03
0,0.22,-0.21,-0.14,3,2.25,-0.08,-0.05
1,3,-0.27,3,-0.17,-0.47,0.14,0.08
0,2.28,-0.21,2,-0.09,-0.47,0.36,2.21
0,0.6,-0.21,0.13,0.27,0.44,-0.08,-0.05
0,0.5,-0.21,1.18,0.05,0.62,-0.08,-0.05
0,0.58,-0.21,-0.25,3,1.16,-0.08,-0.05
0,0.3,-0.21,0.42,1.07,0.62,-0.08,-0.05
1,0.12,-0.21,0.04,-0.2,-0.65,-0.08,-0.05
0,-0.13,-0.21,-0.33,0.89,1.7,-0.08,-0.05
0,0.12,-0.21,0.16,0.87,-0.29,-0.08,-0.05
0,0.38,-0.21,0.43,0.24,1.16,-0.08,-0.05
1,1.45,-0.27,1.38,-0.15,-0.1,0.14,0.04
0,1.34,-0.21,-0.53,3,1.88,-0.08,-0.05
0,1.51,-0.21,-0.53,1.31,0.62,-0.08,-0.05
0,3,-0.21,-0.53,1.28,3,-0.08,-0.05
0,3,-0.16,0.04,3,2.97,0.58,0.76
1,-0.38,-0.1,-0.47,0.05,0.44,0.14,-0.03
1,3,-0.27,0.3,0,0.26,0.14,0.66
1,0.91,-0.27,0.52,0.65,-0.1,0.14,0
0,0.21,-0.21,0.01,-0.2,-0.47,-0.08,-0.05
0,0.21,-0.21,-0.31,0.76,3,-0.08,-0.05
0,0.55,-0.21,1.29,-0.06,0.26,-0.08,-0.05
0,-0.46,-0.21,-0.35,-0.2,-0.65,0.14,-0.02
0,0.38,-0.21,0.12,-0.19,-0.29,-0.08,-0.05
0,0.38,-0.21,1.23,0.09,0.8,-0.08,-0.05
0,0.43,-0.21,-0.31,0.41,-0.47,-0.08,-0.05
0,-0.29,-0.21,-0.42,1.22,2.07,-0.08,-0.05
